number,current,voltage,gap,exposurearea,frequency,mrr,oc
1,0.013,3,200,0.178057249,40,0.000244973,147.5
2,0.023,3,240,0.178057249,40,0.000246301,197
3,0.01,3,280,0.178057249,40,0.000252319,157
4,0.031,5,200,0.178057249,40,0.001453744,304
5,0.027,5,240,0.178057249,40,0.001140401,277
6,0.033,5,280,0.178057249,40,0.001555288,287
7,0.056,7,200,0.178057249,40,0.001809562,357
8,0.029,7,240,0.178057249,40,0.001174343,290
9,0.027,7,280,0.178057249,40,0.001272348,297
10,0.014,3,200,0.178057249,60,0.000375439,170
11,0.009,3,240,0.178057249,60,0.000174367,142
12,0.009,3,280,0.178057249,60,6.66E-05,125
13,0.07,5,200,0.178057249,60,0.002476548,382
14,0.025,5,240,0.178057249,60,0.001117194,268
15,0.023,5,280,0.178057249,60,0.001081568,254
16,0.032,7,200,0.178057249,60,0.001283657,274
17,0.049,7,240,0.178057249,60,0.001611685,352
18,0.051,7,280,0.178057249,60,0.002139333,397
19,0.018,3,200,0.178057249,80,0.000258412,163.5
20,0.015,3,240,0.178057249,80,0.000403257,177.5
21,0.009,3,280,0.178057249,80,0.0001476,77
22,0.05,5,200,0.178057249,80,0.002078555,378
23,0.02,5,240,0.178057249,80,0.000899551,206
24,0.018,5,280,0.178057249,80,0.000594082,225
25,0.055,7,200,0.178057249,80,0.001697287,332
26,0.052,7,240,0.178057249,80,0.001355952,327
27,0.036,7,280,0.178057249,80,0.001700636,378
29,0.012,3,240,0.178057249,40,0.000201752,200
30,0.009,3,280,0.178057249,40,0.000163816,118.25
31,0.031,5,200,0.178057249,40,0.001210905,275
32,0.032,5,240,0.178057249,40,0.000869298,256
33,0.022,5,280,0.178057249,40,0.00099304,247
34,0.041,7,200,0.178057249,40,0.001590435,297
35,0.038,7,240,0.178057249,40,0.001398912,263
36,0.036,7,280,0.178057249,40,0.001434574,298
37,0.009,3,200,0.178057249,60,0.00021367,94
38,0.015,3,240,0.178057249,60,0.000203078,201
39,0.013,3,280,0.178057249,60,0.00023601,180
40,0.026,5,200,0.178057249,60,0.001270936,326
41,0.03,5,240,0.178057249,60,0.001227535,310
42,0.032,5,280,0.178057249,60,0.001256159,353
43,0.108,7,200,0.178057249,60,0.003725689,486
44,0.079,7,240,0.178057249,60,0.002286044,382
45,0.064,7,280,0.178057249,60,0.002235501,392
47,0.013,3,240,0.178057249,80,0.000287856,206
48,0.011,3,280,0.178057249,80,0.000128845,113
49,0.023,5,200,0.178057249,80,0.001104404,263
50,0.03,5,240,0.178057249,80,0.001428017,322
51,0.034,5,280,0.178057249,80,0.001498969,318
52,0.058,7,200,0.178057249,80,0.001947823,393
53,0.035,7,240,0.178057249,80,0.001969802,331
54,0.033,7,280,0.178057249,80,0.001360897,300
